Country,Year,Country_Code,Continent,Region,Population,GDP_Per_Capita,Per_Capita_Sugar_Consumption,Total_Sugar_Consumption,Sugar_From_Sugarcane,Sugar_From_Beet,Sugar_From_HFCS,Processed_Food_Consumption,Avg_Daily_Sugar_Intake,Diabetes_Prevalence,Obesity_Rate,Sugar_Imports,Sugar_Exports,Avg_Retail_Price_Per_Kg,Gov_Tax,Gov_Subsidies,Education_Campaign,Urbanization_Rate,Climate_Conditions,Sugarcane_Production_Yield
USA,2006,USA,North America,Northern America,14154812.99,13517.14,66.1,935589.77,72.33,24.32,6.56,143.7,181.11,8.78,23.85,7792655,3158879.15,1.61,0,0,0,17.66,1,89.5
France,1985,FRA,Europe,Western Europe,157287809.6,1069.04,23.3,3664524.54,63.53,33.43,59.53,250.8,63.84,10.62,14.47,8912932.43,5109921.39,2.05,0,0,1,62.91,4,83.35
Germany,1966,DEU,Europe,Western Europe,173060278.6,46766.25,39.59,6850823.35,59.63,24.07,10.79,200.62,108.47,11.55,31.66,3628415.78,6220387.5,3.55,0,0,1,66.77,2,97.68
South Africa,2004,ZAF,Africa,Sub-Saharan Africa,115373731.2,43275.19,61.4,7083726.03,55.61,6.17,47.91,66.06,168.23,11.35,27.89,4536262,1469676.89,2.7,0,1,1,34.14,5,45.41
France,2007,FRA,Europe,Western Europe,97205118.84,21017.41,42.68,4148946.56,79.13,38.46,52.88,72.18,116.95,3.9,32.76,2883957.22,9257013.21,1.32,0,0,0,77.03,2,93.98
Brazil,2004,BRA,South America,South America,255730915.2,22549.03,57.07,14594919.67,81.08,33.62,31.82,111.4,156.38,13.16,31.15,3358131.16,7372648.15,3.89,0,0,0,26.11,2,42.54
USA,1986,USA,North America,Northern America,7881960.815,26445.64,68.25,537954.1,64.35,31.37,58.56,166.03,187.01,12.28,26.48,2609699.94,637558.89,2.04,0,0,1,25.91,2,74.16
Indonesia,1976,IDN,Asia,Southeast Asia,118879827.3,39067.12,25.5,3031242.46,87.54,37.99,57.65,60.19,69.87,9.04,11.81,3789132.07,8894585.89,3.81,0,1,0,84.96,4,91.58
Russia,1980,RUS,Europe,Eastern Europe,200119253.7,24676.79,12.72,2544608.43,67.48,22.14,4.24,54.45,34.84,5.62,32.56,7316405.88,9002180.95,2.01,0,0,0,40.63,2,51.26
Russia,1981,RUS,Europe,Eastern Europe,72359147.03,6290.11,48.08,3479130.75,77.09,8.52,51.3,42.73,131.74,5.91,22.58,5551651.81,1189778.95,4.73,1,0,0,43.14,4,81.14
Japan,1985,JPN,Asia,East Asia,176469288.2,45954.44,5.71,1007883.78,54.96,12.66,33.19,228.03,15.65,2.39,39.55,6717527.92,5006906.87,3.13,0,0,0,45.44,1,74.47
USA,1998,USA,North America,Northern America,294001625.3,2894.94,17.33,5095553.05,63.08,19.85,35.01,26.06,47.49,8.01,15.33,5536155.63,4543742.32,3.9,0,0,1,73.91,1,45.45
China,1972,CHN,Asia,East Asia,292430391.3,44929.25,26.25,7675909.41,76.28,25.35,9.66,185.68,71.92,3.16,30.61,7195131.79,4213752.98,4.81,0,0,1,49.41,2,52.27
South Africa,2001,ZAF,Africa,Sub-Saharan Africa,75445314.16,34678.72,61.89,4669281.93,75.97,33.19,59.06,184.25,169.58,3.99,28.44,3264890.46,3797370.52,3.99,0,1,1,85.04,5,63.94
Brazil,2001,BRA,South America,South America,31602958.07,20532.88,8.32,262787.12,59.28,13.43,13.87,297.84,22.78,4.68,31.13,7813172.81,8588365.81,0.69,0,1,1,60.5,1,40.13
India,2004,IND,Asia,South Asia,177512628.1,9765.33,8.25,1463742.57,57.07,32.1,51.54,206.52,22.59,11.56,19.56,2985319.05,7918674.06,1.65,0,0,0,85.49,1,40.22
France,1982,FRA,Europe,Western Europe,126574799.8,15868.87,40.87,5172588.76,61.07,36.15,57.39,212.78,111.97,15.2,13.55,9790582.55,1879934.73,1.76,1,1,1,64.34,2,47.69
Brazil,2010,BRA,South America,South America,228744327.2,26728.75,16.55,3786818.05,81.48,33.65,16.85,35.99,45.36,9.05,19.17,3862321.68,7830361.17,2.88,0,1,0,83.84,3,63.39
Russia,1989,RUS,Europe,Eastern Europe,158867133.9,33014.12,20.74,3295537.71,59.67,26.78,43.83,264.14,56.84,11.29,11.64,130003.26,6790043.88,2.13,0,0,1,18.2,1,94.86
China,2014,CHN,Asia,East Asia,153665455,34727.89,16.98,2608524.35,78.07,33.35,4.82,102.81,46.51,3.03,8.91,4654657.35,468983.1,3.27,0,1,0,18.63,3,62.2
Australia,1976,AUS,Oceania,Australia & New Zealand,194291500.6,22641.04,42.8,8316543.53,84.8,35.71,44.49,100.64,117.28,13.26,28.95,9557833.55,1047384.13,4.65,0,0,0,37.26,1,82.44
South Africa,1986,ZAF,Africa,Sub-Saharan Africa,38799115.01,19011.72,8.61,334083.8,65.66,24.43,29.06,145.04,23.59,8.03,39.5,6336810.16,9486015.55,3.83,1,0,0,52.99,5,46.42
Germany,1979,DEU,Europe,Western Europe,203471357.2,38531.72,66.1,13449457.09,50.28,33.36,7.08,215.21,181.11,9.79,28.34,1022130.13,5301380.41,0.52,0,0,1,81.15,2,38.13
USA,2022,USA,North America,Northern America,147067390.5,46307.97,13,1912463.62,55.68,19.74,53.68,95.39,35.63,12.73,9.71,1080047.64,9980529.17,4.76,0,1,0,75.98,4,91.31
France,1966,FRA,Europe,Western Europe,246223972.6,45766.02,66.85,16460985.48,62.48,23.29,40.73,235.48,183.18,5.05,23.25,4489450.58,9656027.37,1.33,0,0,0,49.82,4,50.28
Japan,1963,JPN,Asia,East Asia,90923367.69,4411.51,58.82,5348206.38,61.58,35.92,31.97,45.59,161.17,10.36,30.75,6045960.28,3222819.1,0.8,0,1,1,24.98,2,41.35
China,2008,CHN,Asia,East Asia,285123665.8,4127.85,16.23,4628279.95,71.76,9.91,19.55,212.04,44.48,10.35,32.14,9339750.77,1937845.76,1.28,0,1,0,55.19,5,46.31
France,1990,FRA,Europe,Western Europe,166368790.9,20436.41,48.53,8073388.41,50.84,14.67,42.63,277.26,132.96,12.31,11.92,9659858.95,111295.67,4.74,1,0,0,22.24,4,48.66
India,1989,IND,Asia,South Asia,278860998.9,36776.25,58.11,16204526.15,52.57,16.11,37.65,273.8,159.22,11.54,16.46,9212170.82,1558040.73,3.17,1,0,0,88.26,2,76.15
Australia,1990,AUS,Oceania,Australia & New Zealand,207021495.8,25118.53,41.27,8544255.37,84.23,9.06,11.37,28.13,113.09,13.97,24.02,2961765.01,8789537.41,1.55,0,0,1,67.22,5,46.84
Indonesia,2015,IDN,Asia,Southeast Asia,278002978.1,31554.43,40.82,11348041.54,70.89,37.26,14.53,123.58,111.85,15.7,5.16,9766400.57,7132307.61,1.34,0,0,0,64.02,1,40.61
India,1963,IND,Asia,South Asia,96030059.02,42244.29,15.36,1475200.98,87.42,38.95,42.27,93.33,42.09,2.57,11.94,3079870.16,8473732.7,4.35,0,0,0,85.09,2,30.14
France,1977,FRA,Europe,Western Europe,28069593.75,2496.61,31.93,896124.94,50.13,35.28,40.51,141.86,87.47,8.11,38.5,6260229.73,8402219.78,1.06,0,0,1,24.94,1,41.99
Mexico,1999,MEX,North America,Central America,241536157,16879.42,68.24,16481401.87,79.58,6.93,28.69,129.1,186.97,13.33,31.1,6587003.96,6997081.16,2.27,0,0,0,15.69,2,61.12
Russia,1999,RUS,Europe,Eastern Europe,186029211.6,2815.97,49.52,9211283.02,69.05,11.4,28.03,288.67,135.67,6.92,21.53,9965684.66,5615809.26,0.84,0,0,0,47.35,3,49.62
Germany,2012,DEU,Europe,Western Europe,174291490.7,41853.71,8.15,1420026.88,86.55,32.02,7.47,174.42,22.32,2.38,39.97,3492702.6,5909041.79,2.36,0,0,0,38.22,4,46.36
Brazil,2007,BRA,South America,South America,274557543,46740.62,35.99,9881302.46,81.46,15.01,37.26,73.02,98.61,3.8,36.55,1194410.21,6818499.62,4.03,1,1,0,64.73,2,49.78
Australia,2006,AUS,Oceania,Australia & New Zealand,53773041.64,38546.79,46.47,2498707.94,70.16,36.24,15.87,244.68,127.32,15.08,15.03,2203068.69,4579575.4,4.01,1,0,1,40.38,5,87.67
South Africa,2009,ZAF,Africa,Sub-Saharan Africa,185344853.4,40323.51,11.22,2078943.67,69.14,34.23,27.59,125.23,30.73,14.19,33.09,1841372.55,6823693.16,1.36,0,1,0,13.03,5,61.07
France,1982,FRA,Europe,Western Europe,15881412.64,43629.76,48.22,765869.33,82.45,13.29,4.31,28.5,132.13,6.44,24.33,9035986.25,5935081.08,3.91,1,1,0,24.22,5,79.98
Brazil,2010,BRA,South America,South America,43118616.09,26356.99,16.52,712528.27,82.15,29.27,36.84,112.19,45.28,14.55,15.69,4658540.09,1605678.2,1.74,0,1,0,63.56,2,39.72
USA,1997,USA,North America,Northern America,131744432.2,34182.91,31.51,4151551.8,61.08,20.48,50.38,246.08,86.34,14.11,23.04,5157639.45,1122947.06,3.76,1,0,0,50.74,5,91.65
USA,1968,USA,North America,Northern America,246541003.4,14679.35,45.66,11257312.11,76.99,12.52,34.18,74.08,125.11,12.01,16.67,1729713,2191088.65,3.67,0,0,1,87.68,2,99.39
USA,2020,USA,North America,Northern America,220206674.5,12860.18,28.73,6326211.38,75.73,25.65,35.81,104.7,78.72,5.84,11.33,2142756.08,7760267.77,4.28,0,0,0,13.32,1,94.89
France,1975,FRA,Europe,Western Europe,292245252.9,30642.66,29.76,8696480.18,84.24,34.31,40.4,88.75,81.54,4.22,21.37,7996042.96,2572882.43,4.95,1,1,0,89.89,1,82.91
Germany,1980,DEU,Europe,Western Europe,14409745.89,36863.08,59.83,862207.07,84.74,37.44,11.78,270.44,163.95,5.56,19.87,6828849.55,8593315.41,0.93,0,1,0,13.61,1,84.57
Russia,1968,RUS,Europe,Eastern Europe,115024313.4,20158.46,25.1,2887365.01,60.73,7.06,4.13,95.32,68.78,5.15,16.02,3292672.09,2869900.24,1.65,0,0,0,15.45,2,97.73
Japan,2011,JPN,Asia,East Asia,48478449.67,20314.41,47.59,2306974.58,85.19,19.66,51.24,79.7,130.39,13.59,26.66,7954811.36,6187489.36,3.29,1,1,1,43.25,5,68.83
India,1984,IND,Asia,South Asia,12051423.93,47734.56,60.19,725434.53,86.98,26.15,50.8,278.88,164.93,7.56,9.49,537073.84,8666240.73,2.95,1,0,0,33.09,4,64.28
China,2008,CHN,Asia,East Asia,80054869.33,26163.79,14.92,1194594.52,54.39,16.83,32.68,299.93,40.89,11.16,39.07,706726.79,8475044.77,4.25,0,0,0,45.3,1,53.9
Germany,1995,DEU,Europe,Western Europe,74097081.41,49321.07,7.99,591688.81,72.95,16.12,11.82,182.14,21.88,12.17,12.42,885114.42,8350474.19,0.96,0,1,0,12.84,1,36.5
Japan,2006,JPN,Asia,East Asia,126588287.8,43210.71,58.66,7425632.61,67.46,32.02,49.03,281.09,160.73,8.99,26.44,7034768.6,8217087.77,2.7,0,0,1,66.62,4,43.32
India,2002,IND,Asia,South Asia,42884281.16,32163.05,40.82,1750686.51,66.08,32.39,13.21,232.75,111.86,5.72,19.06,5958668.73,6874804.4,2.07,1,1,0,41.71,2,51.96
Brazil,1973,BRA,South America,South America,147081706.2,952.21,58.8,8648490.28,78.19,30.51,51.65,64.41,161.11,9.52,5.34,8617686.28,7196921.17,0.83,0,1,0,66.88,4,98.17
Indonesia,2023,IDN,Asia,Southeast Asia,252811021.5,32814.34,11.2,2830264.11,51.06,32.57,49.01,225.47,30.67,12.74,17.22,6287648.96,1428099.43,0.81,1,1,1,78.6,2,58.93
Indonesia,2004,IDN,Asia,Southeast Asia,241613849.4,20078.39,62.41,15078684.76,73.13,5.39,33.64,163.69,171,15.58,34.27,8704323.87,2334596.51,0.54,0,0,0,60.7,4,91.86
Brazil,2000,BRA,South America,South America,117498274.6,41477.28,58.46,6869499.98,59.01,39.56,19.1,159.41,160.19,13.9,28.55,2332059.7,3358618.2,0.61,0,0,1,19.23,1,58.73
USA,2015,USA,North America,Northern America,212979349.9,33313.81,41.88,8918884.62,76.7,37.17,27.18,248.33,114.74,11.4,10.48,956059.07,882363.3,2.27,0,0,0,71.1,3,51.28
Indonesia,1967,IDN,Asia,Southeast Asia,62488783.6,39329.49,27.48,1717183.82,89.99,25.57,12.19,239.95,75.29,9.09,13.45,8994813.6,4183410.58,1.64,0,0,0,84,1,95.83
India,1973,IND,Asia,South Asia,258218447.6,15502.97,18.11,4675057.91,84.49,24.05,6.23,70.16,49.61,4.84,7.13,6100225.87,4291287.83,1.1,0,0,1,84.74,5,85.15
South Africa,1974,ZAF,Africa,Sub-Saharan Africa,137866472.2,3607.94,34.6,4770659.16,63.47,10.25,47.09,290.27,94.81,11.55,22.01,102944.53,4081110.84,3.11,0,0,1,62.46,5,67.1
Russia,2023,RUS,Europe,Eastern Europe,5891562.113,9041.54,47.73,281230.11,71.14,6.89,37.3,222.52,130.79,13.95,20.32,2262018.89,4735917.45,2.63,0,0,0,15.69,1,77.81
Brazil,1998,BRA,South America,South America,193371848.5,635.65,69.9,13516733.96,62.71,13.96,52.2,132.48,191.53,12.67,22.19,6956662.08,1977370.85,3.69,0,0,0,51.78,1,30.15
Mexico,1984,MEX,North America,Central America,203352164.5,41701.34,58.12,11819122.51,79.15,10.28,18.8,183.78,159.25,15.78,7.53,3600024.32,7301355.91,2.17,0,0,0,58.81,5,78.6
China,2022,CHN,Asia,East Asia,165976926.7,31541.87,33.23,5515414.83,66.9,24.63,33.68,195.54,91.05,15.41,15.39,5688757.65,8804753.54,1.57,0,0,0,86.65,4,84.43
India,2018,IND,Asia,South Asia,64512174.95,28743.18,53.31,3439215.68,54.62,16.64,2.55,242.36,146.07,12.28,37.26,556097.01,7214964.41,3.87,0,1,0,66,1,47.92
USA,1988,USA,North America,Northern America,120638107.6,32853.12,31.98,3857686.15,50.44,5.92,11.47,254.88,87.62,6.99,10.17,1435793.75,284762.36,4.24,0,0,0,23.01,2,44.14
France,1962,FRA,Europe,Western Europe,292431136.1,28492.25,32.62,9539132.27,61.89,24.2,6.88,124.48,89.38,3.34,15.09,1054933.94,1404714.53,0.66,0,0,0,35.94,2,94.45
Russia,1981,RUS,Europe,Eastern Europe,228807981.9,22326.88,30.42,6959417.32,53.77,16.7,44.69,64.69,83.34,11.64,35.03,5131643.97,7614837.19,2.23,1,0,0,40.59,2,99.98
Japan,1996,JPN,Asia,East Asia,55141037.2,40338.07,10.41,574200.39,70.18,9.59,12.59,159.56,28.53,14.78,9.91,9008264.46,4896873.1,1.98,0,1,0,49.66,2,39.5
Russia,2022,RUS,Europe,Eastern Europe,99980965.21,39438.37,9.37,936803.33,81.8,29.63,14.01,126.45,25.67,2.22,25.88,9885910.66,265402.89,0.72,0,0,1,69.06,4,37.54
Mexico,2000,MEX,North America,Central America,114533838.8,10375.49,50.39,5771931.09,86.18,9.51,18.94,202.81,138.08,12.46,20.37,1086630.71,4851180.9,1.72,0,1,0,70.9,5,54.22
Indonesia,1979,IDN,Asia,Southeast Asia,148295632.2,22961.29,23.79,3528108.92,72.39,33.59,48.67,184.85,65.19,6.03,22,3157372.91,8870664.6,2.66,1,0,0,78.47,4,72.12
Japan,1978,JPN,Asia,East Asia,10037129.11,41829.15,61.48,617076.42,56.13,24.11,44.84,258.67,168.45,9.19,32.75,7358468.71,1218850.04,3.69,0,1,0,60.94,1,45.97
USA,1972,USA,North America,Northern America,178309759.2,41627.33,36.39,6488977.45,87.63,13.31,16.19,58.8,99.71,8.71,25.76,6575547.67,9082777.03,1.6,0,0,0,31.82,1,59.64
France,1986,FRA,Europe,Western Europe,107999106.6,1688.32,26.47,2859190.49,79.97,36.46,15.31,275.48,72.54,3.07,24.5,808820.43,9505935.92,4.13,0,0,1,23.64,3,66.31
Germany,1978,DEU,Europe,Western Europe,168941466.5,11540.98,54.34,9180691.93,65.83,9.96,54.39,73.95,148.9,14.33,18.31,587818.78,6634859.33,4.33,0,0,0,76.59,5,73.98
China,1975,CHN,Asia,East Asia,3684536.893,21481.78,32.14,118419.59,61.08,26.04,36.89,219,88.06,3.89,16.3,4147577.14,627627.38,1.66,0,1,1,61.13,4,42.78
France,1960,FRA,Europe,Western Europe,230831150.7,13400.92,51.42,11868408.8,57.66,6.31,8.42,213.77,140.88,10.61,37.02,5722884.22,8624645.77,4.84,0,0,1,28.12,4,54.74
China,1962,CHN,Asia,East Asia,150823384.2,13285.84,52.01,7844134.71,81.11,26.34,3.97,165.52,142.5,6.77,5.89,6385691.51,7194571.63,3.23,0,0,0,26.41,1,96.01
Mexico,1983,MEX,North America,Central America,236877311.2,11121.13,60.71,14381513.65,54.35,29.3,14.78,199.2,166.35,11.7,21.66,4818938.29,4912092.81,2.41,0,0,0,53.14,3,99.18
Japan,2003,JPN,Asia,East Asia,209989157.4,20134.62,60.15,12629999.64,55.18,36.85,43.2,228.09,164.8,15.44,24.84,7180352.87,1615123.7,3.5,0,0,1,37.13,4,55.74
Indonesia,1997,IDN,Asia,Southeast Asia,256621252,40744.03,48.2,12369025.34,57.84,29.81,22.3,66.01,132.07,13.26,14.93,1171465.69,4838881.45,2.28,0,0,0,42.19,2,47.56
Brazil,1961,BRA,South America,South America,3225632.977,12583.63,67.2,216770.67,65.81,21.96,57.9,109.28,184.13,5.7,8.08,7418627.99,930499.13,4.96,0,0,1,87.88,1,91.28
Australia,2015,AUS,Oceania,Australia & New Zealand,79136322.06,29312.33,6.35,502300.93,57.56,34.87,19.46,261.5,17.39,6.17,10.89,6192577.56,6151437.08,0.64,0,0,1,74.5,2,37.81
Japan,1975,JPN,Asia,East Asia,165091716.3,28100.11,65.48,10809791.07,86.17,17.38,9.01,252.47,179.41,4.92,29.75,92716.86,7790607.86,1.12,0,0,0,87.99,4,39.56
China,1988,CHN,Asia,East Asia,282364404.9,40987.24,14.64,4132818.8,60.31,34.94,10.6,207.52,40.1,11.84,12.65,4715997.68,6280212.96,3.98,1,0,0,60.35,2,62.3
Brazil,1996,BRA,South America,South America,204257263.9,20002.97,18.76,3831212.54,86.78,34.54,29.31,98.54,51.39,5.04,18.91,3515556.75,138837.96,4.16,0,1,0,15.93,4,87.21
Japan,2003,JPN,Asia,East Asia,137520047.1,11566.65,58.13,7994169.36,89.4,26.13,56.25,69.82,159.28,13.03,5.55,2535060.53,6693997.34,2.91,0,1,0,24.87,5,78.85
Brazil,1963,BRA,South America,South America,39912257.82,44630.27,31.03,1238409.76,80.19,17.06,54.02,24.08,85.02,4.43,10.96,551326.14,4861812.23,1.83,0,0,0,69.45,2,65.5
Brazil,1973,BRA,South America,South America,148471391.1,41730.88,32.65,4846875.1,50.3,25.69,11,280.88,89.45,12.66,33.57,9773349.79,4293125.09,3.69,0,0,0,80.69,1,95.86
Brazil,1976,BRA,South America,South America,132885004.8,31264.43,21.98,2920779.51,59.6,36.71,45.27,194.39,60.22,9.19,23.43,2797645.67,2828594.29,1.31,0,0,0,20.68,1,79.99
South Africa,2003,ZAF,Africa,Sub-Saharan Africa,233754539.1,5115.35,19.59,4578942.32,60.69,27.28,45.14,129.8,53.67,13.35,8.42,4582111.8,1163457.87,1.57,1,0,0,70.37,4,90.03
India,2004,IND,Asia,South Asia,124591243.5,1297.83,11.91,1483337.19,71.71,34.4,9.92,210.14,32.62,9.02,7.9,942187.77,5601623.02,4.06,0,0,1,12.45,1,47.11
Mexico,1976,MEX,North America,Central America,96332584.38,9539.92,17.79,1713769.14,56.34,17.06,17.89,142.81,48.74,5.64,37.23,7968840.12,8332527.9,3.63,0,0,1,38.16,3,82.27
France,1979,FRA,Europe,Western Europe,27826185.06,10233.61,41.84,1164206.19,53.09,15.23,4.56,111.7,114.64,11.82,18.01,237157.08,9858607.91,2.94,0,0,0,25.45,1,47.06
Russia,2019,RUS,Europe,Eastern Europe,14903818.11,7244.25,50.93,759045.16,57.05,13.95,4.49,155.33,139.55,7.08,31.83,5899924.91,6336264.39,1.27,0,0,0,15.25,2,84.8
USA,2006,USA,North America,Northern America,132301193.8,13477.98,53.02,7015211.66,63.09,22.19,26.53,223.61,145.29,4.42,20.28,2766015.61,3116636.64,4.29,0,0,0,67.82,5,65.26
Indonesia,2000,IDN,Asia,Southeast Asia,167041926.7,37844.7,64.93,10845541.27,57.81,34.9,1.96,38.88,177.9,12.98,23.38,5249426.45,7236536.27,3.46,1,0,1,43.41,3,31.9
France,1985,FRA,Europe,Western Europe,213866602.7,35621.35,26.37,5639089.94,56.7,8.94,57.97,28.81,72.25,3.35,8.48,4688704.08,4764605.05,3.87,0,0,1,87.42,3,62.34
USA,2001,USA,North America,Northern America,12962037.26,5666.78,12.22,158446.41,80.89,24.39,29.18,108.68,33.49,14.33,35.21,4108380.29,5223514.95,1.81,0,0,0,37.75,3,98.14
China,1997,CHN,Asia,East Asia,149368915.8,48866.8,66.44,9923993.09,56.78,19.12,47.27,21.34,182.04,6.17,6.72,6264335.58,1394951.78,3.97,1,0,0,34.72,3,92.89
Indonesia,1976,IDN,Asia,Southeast Asia,258729596.4,37730.89,40.14,10386444.59,81.66,37.81,38.1,153.5,109.99,12.59,29.5,5483947.94,5368841.31,0.62,0,0,0,41.09,3,46.74
Germany,1971,DEU,Europe,Western Europe,137094809.3,8589.95,68.14,9341565.51,70.33,32.59,37.16,248.94,186.7,3.85,39.21,3310893.02,9717010.4,4.7,0,0,1,23.39,5,79.31
Japan,2015,JPN,Asia,East Asia,156851421.1,6662.58,30.59,4797822.4,80.31,20.17,18.19,110.83,83.81,8.93,36,1885694.58,3362668.51,2.21,0,0,0,34.16,3,93.24
Mexico,1987,MEX,North America,Central America,146550760.4,4833.57,54.23,7947530.31,68.01,27.42,53.23,147.99,148.59,6.59,36.72,1560344.95,1679801.49,4.27,0,0,0,68.72,3,88.44
China,1968,CHN,Asia,East Asia,117548082.6,36723.54,12.15,1427725.76,86.04,31.1,17.98,176.56,33.28,9.5,13.95,366926.33,4744590.67,1.93,1,1,1,74.13,5,85.73
Brazil,1991,BRA,South America,South America,33925737.65,12196.18,60.52,2053020.88,61.06,7.49,57.09,274.96,165.81,6.9,21.37,4450443.53,5190078.41,3.68,0,1,0,45.93,1,89.4
China,1993,CHN,Asia,East Asia,38780508.49,4111.92,16.1,624191.18,80.67,28.58,2.36,278.72,44.1,8.83,13.1,1747539.89,9976186.87,3.06,0,1,0,56.6,2,90.22
China,1975,CHN,Asia,East Asia,54547683.28,21380.47,9.46,516246.9,56.54,9.88,6.88,193.24,25.93,2.36,29.1,8821814.7,2139987.57,2.52,0,0,0,82.36,4,47.78
South Africa,2013,ZAF,Africa,Sub-Saharan Africa,83324357.87,15575.54,41.23,3435414.41,51.14,21.14,36.52,64.99,112.97,13.46,15.37,6265181.4,3733017.09,4.09,0,0,0,55.88,4,95.41
China,1990,CHN,Asia,East Asia,284489010.8,24390.96,23.97,6819708.02,68.3,39.28,43.02,68.49,65.68,2.88,19.34,3117717.25,7466355.4,1.08,0,1,0,20.55,2,41.28
China,2014,CHN,Asia,East Asia,243240879.8,10037.41,67.46,16409523.77,66.85,38.33,38.5,183.7,184.85,16.38,18.31,2593242.9,8706556.51,4.89,0,0,1,36.62,3,53.65
India,1986,IND,Asia,South Asia,205677659.8,21742.85,60.42,12427862.49,74.95,36.58,31.63,215.2,165.56,15.45,29.41,8162471.85,7606598.17,2.61,0,1,0,13.72,5,34.63
Mexico,1988,MEX,North America,Central America,216397695.2,18267.64,57.22,12381194.91,67.64,6.2,1.87,35.8,156.77,11.89,5.66,3693313.06,1899499.87,3.37,0,1,0,21.79,3,76.22
Russia,1960,RUS,Europe,Eastern Europe,15242030.39,21978.96,57.63,878344.87,73.56,34.85,48.53,94,157.9,8.45,37.39,953554,6507670.57,1.03,0,0,0,26.11,5,43.82
Indonesia,2021,IDN,Asia,Southeast Asia,170948420.7,23552.72,62.89,10751634.47,84.47,32.17,30.61,157.07,172.33,14.94,9.94,3234869.7,2321427.13,4.94,0,0,0,19.89,2,40.61
France,1986,FRA,Europe,Western Europe,282376016.1,5068.79,61.24,17292328.03,55.68,22.46,6.35,233.7,167.79,14.57,16.03,1190139.16,9837603.84,2.64,0,1,1,27.22,3,65.79
Australia,2012,AUS,Oceania,Australia & New Zealand,12693944.83,5121.73,65.33,829339.74,59.77,16.39,11.55,109.89,179.01,8.98,6.64,4632984.96,5597193.7,2.57,0,0,0,37.36,5,83.3
Germany,1991,DEU,Europe,Western Europe,88013939.04,13400.22,65.73,5785491.63,82.11,31.45,39.72,154.18,180.11,12.68,20.37,2926304.22,4305554.22,1.85,1,1,0,35.93,1,64.66
China,2018,CHN,Asia,East Asia,16401936.15,6230.04,24.39,400057.76,59.12,8.75,4.62,153.88,66.83,13.1,30.81,8203105.8,6463347.21,2.24,0,0,1,28.85,2,88.46
Russia,1970,RUS,Europe,Eastern Europe,171352731.8,13012.82,19.27,3302253.48,86.23,27.77,52.17,278.76,52.8,13.07,32.45,653420.58,5995219.12,3.94,0,1,0,36.58,1,46.02
Russia,2012,RUS,Europe,Eastern Europe,35743987.52,1714.93,46.8,1672867.89,71.63,28.52,47.44,255.12,128.24,15.73,17.66,9844831.61,9172116.5,0.92,0,1,0,10.4,2,60
China,1994,CHN,Asia,East Asia,144295796.7,17861.6,13.02,1878230.42,53.27,24.38,18.38,258.79,35.67,12.7,18.37,7955202.45,5126085.96,1.75,0,0,1,59.63,4,96.04
France,1961,FRA,Europe,Western Europe,216264881.6,11063.8,18.72,4049437.15,50.83,35.72,53.01,58.32,51.3,9.64,16.89,6664496.49,7561280.69,2.04,0,1,1,43.13,1,32.94
India,2005,IND,Asia,South Asia,50167121.95,44661.24,55.24,2771341.37,80.52,16.55,53.11,271.24,151.36,13.72,12.69,530448.28,9846391.23,1.63,1,1,1,51.7,5,52.44
Mexico,1960,MEX,North America,Central America,226853966.7,42978.8,47.21,10709050.47,84.25,21.74,50.27,124.18,129.35,7.01,30.01,9798330.72,6317625.71,1.46,0,1,0,48.13,5,77.18
Russia,1966,RUS,Europe,Eastern Europe,84752998.59,47811.71,48.4,4101671.37,88.16,24.69,27.09,134.75,132.6,10.19,30.21,8287432.65,6434209.03,1.48,0,1,0,71.01,4,95.98
Indonesia,1961,IDN,Asia,Southeast Asia,239033621.2,26442.77,33,7888698.62,76.25,14.52,32.33,109.54,90.43,10.41,22.12,3384016.06,9892638.09,4.53,1,0,0,55.48,1,60.79
Australia,1961,AUS,Oceania,Australia & New Zealand,255190929.8,42497.45,23.22,5925943.79,56.7,15.3,24.58,81.92,63.63,6.7,9.49,4084343.94,5222454.63,2.27,0,0,0,35.12,5,57.85
Australia,2012,AUS,Oceania,Australia & New Zealand,29639363.83,47093.8,23.06,683420.79,86.42,5.2,0.6,252.91,63.18,10.03,14.35,9222560.17,9280260.83,3.18,0,0,0,12.92,3,64.56
Germany,1964,DEU,Europe,Western Europe,254538180.9,15632.18,7.27,1851567.8,74.85,27.85,46.37,231.91,19.93,5.77,28.42,9194258.02,8865237.8,2.89,0,1,1,23.89,4,93.73
Brazil,1972,BRA,South America,South America,195160863.8,2650.56,22,4293990.11,66.3,13.69,56.78,157.87,60.29,3.24,20.72,2361715.18,4871876.83,2.56,1,0,0,84.51,1,63.5
China,1978,CHN,Asia,East Asia,48198775.48,5645.71,59.3,2858141.81,56.04,28.55,13.78,109.41,162.48,4.74,28.7,6419956.51,3468697.72,1.32,1,0,0,53.3,3,53.27
Germany,1978,DEU,Europe,Western Europe,167757318.8,28779.23,52.33,8779559.91,79.04,11.54,32.66,13.69,143.4,11.17,21.84,8843646.38,1479484.38,3.92,0,0,1,52.48,2,62.82
Mexico,2006,MEX,North America,Central America,261839058.4,26748.76,45.42,11892595.5,61.05,18.18,18.36,70.23,124.45,15.03,31.64,1038117.15,9286567.36,2.83,0,0,1,57.19,2,67.02
